"longitude","latitude","school_code","countyMatch","isSchool"
-122.2158644,37.8033994,7092463,1,1
-121.8826824,37.7163057,6972533,1,1
-122.196244,37.7584586,7082266,1,1
-122.2344217,37.7828921,6910343,1,1
-122.2438846,37.7688444,6967434,1,1
-83.568817,41.5955995,6965909,0,1
-122.164919,37.700623,6932750,1,0
-122.2708042,37.8474253,6135743,1,1
-122.2708042,37.8474253,130435,1,1
-122.2545397,37.8282905,6932768,1,1
-122.1361684,37.7204299,6972574,1,1
0,0,7092083,0,0
-122.2313127,37.8399198,7071632,1,1
-122.248848,37.769276,9201501,1,0
-122.2408479,37.7805611,6928725,1,1
-122.2337497,37.8530695,6967475,1,1
-122.2862707,37.869536,6967442,0,1
-122.2675082,37.8784267,6142236,1,1
-122.2742385,37.8669405,6972723,1,1
-122.2988787,37.9769796,7089451,0,1
-122.296074,37.8670538,6989784,0,1
0,0,6928824,0,0
-122.2884942,37.8883891,7081953,0,1
-122.1261674,37.6745352,6972624,1,1
-122.0785573,37.719178,6906556,1,0
-122.0785573,37.719178,6908719,1,0
-121.8991494,37.6896529,6977425,1,1
-122.2483283,37.76706,6202253,1,1
-122.2711902,37.7818242,101501,1,0
-122.2711902,37.7818242,7091234,1,1
-122.2711902,37.7818242,7103500,1,0
-121.9980707,37.521889,7055411,1,1
-122.083852,37.64892,7032402,1,1
0,0,7086218,0,0
-122.2385595,37.7274404,6204697,1,1
-122.1417244,37.6877252,6932800,1,1
-121.9536436,37.5593191,6922389,1,1
-122.209084,37.7721222,6900658,1,1
-122.2362217,37.7572705,7072218,1,0
-122.198393,37.790799,7092596,1,0
-122.214036,37.813785,6972632,1,1
-121.917042,37.533779,7047202,1,1
-122.1902661,37.7601259,7095292,1,1
-122.2893287,37.8543043,6900757,0,1
-122.0939967,37.6556443,6132690,1,1
-122.257168,37.851232,6138184,1,1
-122.257168,37.851232,6135537,1,1
-121.925486,37.701844,6995641,1,1
-122.018709,37.550625,6909840,1,1
-121.736423,37.717294,7071970,1,1
-122.200602,37.809869,7083397,1,1
-121.8701495,37.7276191,7103989,1,1
-121.9564501,37.5610293,7047269,1,1
-122.2049242,37.8089259,6932925,1,1
-122.2974722,37.8904816,7082761,0,0
-122.2539871,37.8622362,7090822,1,1
-121.7829721,37.6736719,6959027,1,1
-122.0037696,37.5576999,6972731,1,1
-122.1727599,37.7507846,7072606,1,1
-121.9622326,37.5275676,6140461,1,0
-122.1169797,37.7012366,7092612,1,1
-121.9536436,37.5593191,1101502,1,1
-115.083641,36.042192,9101506,0,1
-115.083641,36.042192,6979132,0,1
-115.083641,36.042192,9101507,0,1
-115.083641,36.042192,9101508,0,1
-122.1029365,37.6376803,7003304,1,1
-122.176582,37.727981,6002182,1,1
-122.1192537,37.6978115,7091325,1,1
0,0,7095896,0,0
-122.1842068,37.7773167,6906549,1,1
-122.0497303,37.6268879,6976013,1,0
-122.0261504,37.6077684,6138648,1,1
-122.1395912,37.6971904,9001527,1,1
-122.052495,37.586142,7085798,1,1
-122.10233,37.636961,7103286,1,1
-122.10233,37.636961,9101509,1,1
-122.10233,37.636961,9501502,1,1
-122.2625826,37.8749451,6919682,1,1
-122.0705684,37.6872251,9101529,1,1
-121.9217231,37.5339029,6993778,1,1
-122.0705684,37.6872251,9301502,1,1
-122.1395912,37.6971904,1501,1,1
-122.1395912,37.6971904,6903454,1,1
-122.243976,37.76174,9801501,1,1
-122.2506179,37.8302559,7088032,1,0
-122.201129,37.772368,7098106,1,1
-121.9928895,37.5612563,7047236,1,1
-122.1440728,37.7574996,7054018,1,1
-122.054174,37.688609,6200877,1,1
-122.1699261,37.7975979,7081524,1,1
-122.2197428,37.7125689,7082241,1,0
-122.2155178,37.8026014,6932073,1,1
-122.0829567,37.7012608,6970651,1,1
-121.962162,37.520776,6970628,1,1
-122.0252728,37.6036072,6977862,1,1
-121.752799,37.670782,6995583,1,1
-157.93721,21.383253,7071855,0,1
-122.2872974,37.8385741,7084874,0,1
-122.257391,37.831555,6998470,1,1
-122.2188878,37.7859871,6933022,1,1
-122.0549,37.580684,7100902,1,1
-122.2757031,37.7840839,6995591,0,1
-121.9956099,37.5518924,6967483,1,0
-122.1501965,37.7149621,7072317,1,1
0,0,7098346,0,0
-122.0735121,37.7056114,6995450,1,1
-122.0735121,37.7056114,6913131,1,1
-122.2217118,37.7984537,6995542,1,1
-122.2692721,37.7710675,6922470,1,1
-122.2437917,37.7901384,6967517,1,1
-122.2575208,37.8508166,6972863,1,0
-122.279844,37.7724897,6965883,0,0
-122.0786913,37.6391482,6972871,1,1
-122.1959886,37.7644772,6972897,1,1
-122.0583748,37.6428517,6965917,1,1
-122.0279084,37.5392265,6972921,1,1
-122.2238557,37.7787755,6972939,1,1
-122.1587277,37.6901064,6972947,1,1
-122.2162914,37.7971777,6972962,1,1
-122.11543,37.663077,6972970,1,1
-122.3136083,37.9198978,6970602,0,1
-122.2782168,37.8696306,6972988,0,0
-122.2550199,37.7659476,6965891,1,1
-122.1928703,37.7888452,6973002,1,1
-122.1593467,37.7243898,6970636,1,1
-122.2506785,37.8286966,6973010,1,1
-122.2697331,37.8306579,6967491,1,1
-121.7639297,37.6825252,6967525,1,1
-122.1457027,37.7574483,6973044,1,0
-122.259996,37.811256,6960694,1,1
-121.9376672,37.7236392,6959878,0,1
-122.2333041,37.757445,6973077,1,1
-122.1899133,37.447331,7012222,0,1
-122.2319797,37.8368631,6967533,1,1
-122.2860895,37.8049107,161259,0,1
-122.2860895,37.8049107,6994107,0,1
-122.2716989,37.8848526,6973085,1,1
-121.9898,37.5517021,6132872,1,1
-121.9898,37.5517021,9601501,1,1
-88.3347962,44.5022164,6959837,0,1
-122.1515917,37.7697637,7088164,1,0
-122.2873201,37.8652444,6998397,0,1
-122.2858417,37.87018,6139620,0,1
-122.2738438,37.8172718,6904452,1,1
-122.2550199,37.7659476,6972996,1,1
-122.2662019,37.8025581,6203814,1,0
0,0,6981849,0,0
-121.9805362,37.5217837,401501,1,1
-121.9805362,37.5217837,1101501,1,1
-121.9805362,37.5217837,1201502,1,1
-121.9805362,37.5217837,6141923,1,1
-121.9805362,37.5217837,6143788,1,1
-121.9805362,37.5217837,6206023,1,1
0,0,6972913,0,0
-121.7676734,37.6593534,7103823,1,1
0,0,7777777,0,0
-122.244348,37.768758,7001811,1,1
-121.8701495,37.7276191,7078769,1,1
-122.2158644,37.8033994,6141048,1,1
-122.183122,37.7991483,7055254,1,1
-122.0346554,37.5913604,7088743,1,1
-121.9542932,37.7018186,6972657,1,1
-121.7718129,37.6953688,6900773,1,1
-122.2737185,37.8633964,6994651,1,1
-122.1421049,37.6871457,6995559,1,1
-122.2110075,37.8185508,6973135,1,0
-120.6786346,38.4114326,6910335,1,1
-121.7891764,39.7067079,6973168,1,1
-121.810515,39.742245,6918106,1,1
-121.8049856,39.7546143,7034820,1,1
-121.5940795,39.7734059,6132948,1,1
-121.837424,39.7430633,7037567,1,1
-121.8426806,39.7257808,6967582,1,1
-121.514357,39.506091,6906598,1,1
-121.6179699,39.7537988,6973903,1,1
-121.6064013,39.757614,6967590,1,0
-121.8925622,39.7922571,7082480,1,0
-121.8207407,39.7471116,7064702,1,0
-121.5616852,39.511364,6926109,1,0
-121.6209397,39.7599354,6967566,1,0
-120.533698,38.039772,7078538,1,1
-122.0149185,39.2050384,6905780,1,1
-121.9877723,37.8295233,7083579,1,1
-122.0612022,37.9378439,9007501,1,1
-121.600151,37.90167,6140669,1,1
-121.8228676,38.0094795,7067143,1,1
-122.312372,37.940968,7077894,1,1
-122.2988787,37.9769796,6967608,1,1
-121.7389696,37.9235922,6910491,1,1
-122.2927632,37.9627341,6933287,1,1
-122.2927632,37.9627341,7085053,1,1
-121.98222,38.023311,6989867,1,1
-122.306582,37.9220445,7083017,1,1
-122.3271355,37.975413,6998157,1,1
-121.9976496,37.7796275,7003668,1,1
-121.9976496,37.7796275,6977953,1,1
-122.0785157,37.9475504,6967624,1,1
-121.8762291,38.001639,6994818,1,1
-122.0418489,37.9968812,6998165,1,1
-122.0228384,37.9728991,6995658,1,1
-122.0791965,37.922282,6906648,1,1
0,0,6916076,0,0
-122.136841,37.8892724,407501,1,0
-122.136841,37.8892724,6133110,1,1
-121.7792013,38.0053358,7101801,1,1
-122.3162435,37.9446812,6972319,1,1
-121.7106867,37.9330626,7032378,1,1
0,0,7090582,0,0
-121.9915459,37.7725579,6916050,1,1
-122.1080406,37.8970169,6955546,1,1
-121.972216,37.7727,6967632,1,1
-122.3033249,37.9621473,6918619,1,1
-122.2956061,37.9804997,6972335,1,1
-122.3593442,37.93347,7097413,1,1
-121.9978354,37.9769683,7072796,1,1
-122.1078685,37.9725442,7079031,1,1
-121.738423,37.9604519,7072507,1,1
-122.2817954,37.9135233,6142277,1,1
-121.751699,37.956565,6933410,1,1
-121.7811596,37.9688101,6906622,1,1
-121.8054929,38.0082961,6967640,1,1
-122.0665751,37.9118319,7092414,1,0
-121.7389696,37.9235922,7078967,1,1
-115.083641,36.042192,9007591,0,1
-115.083641,36.042192,9007505,0,1
-115.083641,36.042192,9007592,0,1
-121.993979,37.966293,6933436,1,1
-122.001361,37.95452,7020043,1,1
127.0276004,37.5256518,6910558,0,0
-122.0883603,37.8914773,6998199,1,1
-122.3107632,37.9321026,7103161,1,1
-121.7181654,37.925745,207501,1,1
